idx,domain,problem,solution,prediction,is_correct,reason
76,Probability,"Să se calculeze probabilitatea ca un element al mulțimii \(\{1,2,3\}\) să fie soluție a ecuației \(n^{2}-5 n+6=0\).",\(f(1+i)=(1+i)^{2}-2(1+i)=-2\),\(f(1+i)=(1+i)^{2}-2(1+i)=-2\),1,Correct
77,Linear Algebra,"Se consideră matricele \(A=\left(\begin{array}{cc}-1 & 4 \\ 4 & -1\end{array}\right), B=\left(\begin{array}{cc}2 & -2 \\ -4 & 2\end{array}\right), I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right), O_{2}=\left(\begin{array}{ll}0 & 0 \\ 0 & 0\end{array}\right)\) ș polinomul \(f=X^{2}+2 X-15\). Să se verifice egalitatea \(A^{2}+2 A-15 I_{2}=O_{2}\).",\(A^{2}+2 A-15 I_{2}=O_{2}\),\(A^{2}+2 A-15 I_{2}=O_{2}\),1,Correct
78,Abstract Algebra,"Se consideră numerele complexe \(\varepsilon=\frac{-1+i \sqrt{3}}{2}, w=1+\varepsilon\) și mulțimile \(G=\{a+\varepsilon b \mid a, b \in \mathbf{Z}\}\) și \(H=\left\{z \in G \mid \exists z^{\prime} \in G, z \cdot z^{\prime}=1\right\}\). Să se arate că, dacă \(z \in H\), atunci \(|z|=1\).","Fie \(z=a+\varepsilon b \in H, z^{\prime}=c+\varepsilon d \in H\) cu \(z \cdot z^{\prime}=1\). Atunci avem \(a c-b d+\left(-\frac{1}{2}+i \frac{\sqrt{3}}{2}\right)(a d+b c-b d)=1 \Leftrightarrow\left\{\begin{array}{c}a c-b d=1 \\ a d+b c-b d=0\end{array} \Leftrightarrow\left\{\begin{array}{c}c a-d b=1 \\ c b+d(a-b)=0\end{array}\right.\right.\). Acesta îl privim ca și un sistem liniar cu necunoscutele \(c\) și \(d\). Matricea sistemului \(A=\left(\begin{array}{cc}a & -b \\ b & a-b\end{array}\right)\) are determinantul \(\operatorname{det}(A)=a^{2}-a b+b^{2} \neq 0\), căci \(z \neq 0\). Atunci \(c=\frac{1}{\operatorname{det}(A)} \cdot\left|\begin{array}{cc}1 & -b \\ 0 & a-b\end{array}\right|=\frac{a-b}{\operatorname{det}(A)}, d=\frac{1}{\operatorname{det}(A)} \cdot\left|\begin{array}{ll}a & 1 \\ b & 0\end{array}\right|=\frac{-b}{\operatorname{det}(A)}\). Dacă \(b \in \mathbf{Z} \backslash\{-1,1\}\), atunci \(d=\frac{-b}{a^{2}-a b+b^{2}} \in(-1,1)\) și \(d \in \mathbf{Z}\) implică \(b=0\), deci \(c=\frac{a}{a^{2}}=\frac{1}{a} \in \mathbf{Z}\) și \(a= \pm 1\). Atunci \(z \in\{-1,1\}\). Dacă \(b=1\), atunci \(d=\frac{-1}{a^{2}-a+1} \in \mathbf{Z} \Rightarrow a^{2}-a+1 \in\{-1,1\} \Rightarrow a \in\{0,1\}\), deci \(z \in\{\varepsilon, 1+\varepsilon\}\). Dacă \(b=-1\), atunci \(d=\frac{1}{a^{2}+a+1} \in \mathbf{Z} \Rightarrow a^{2}+a+1 \in\{-1,1\} \Rightarrow a \in\{0,-1\}\), deci \(z \in\{-\varepsilon,-1-\varepsilon\}\). Utilizând și b) deducem că \(H=\left\{-1,1, \varepsilon,-\varepsilon^{2},-\varepsilon, \varepsilon^{2}\right\}\). Cum \(|-1|=|1|=|\varepsilon|=|-\varepsilon|=\left|\varepsilon^{2}\right|=\left|-\varepsilon^{2}\right|=1\), avem că \(\forall z \in H \Rightarrow|z|=1\).","\(z=a+\varepsilon b \in H, z^{\prime}=c+\varepsilon d \in H; z \cdot z^{\prime}=1; a c-b d+\left(-\frac{1}{2}+i \frac{\sqrt{3}}{2}\right)(a d+b c-b d)=1 \Leftrightarrow\left\{\begin{array}{c}a c-b d=1 \\ a d+b c-b d=0\end{array} \Leftrightarrow\left\{\begin{array}{c}c a-d b=1 \\ c b+d(a-b)=0\end{array}\right.\right.; c; d; A=\left(\begin{array}{cc}a & -b \\ b & a-b\end{array}\right); \operatorname{det}(A)=a^{2}-a b+b^{2} \neq 0; z \neq 0; c=\frac{1}{\operatorname{det}(A)} \cdot\left|\begin{array}{cc}1 & -b \\ 0 & a-b\end{array}\right|=\frac{a-b}{\operatorname{det}(A)}, d=\frac{1}{\operatorname{det}(A)} \cdot\left|\begin{array}{ll}a & 1 \\ b & 0\end{array}\right|=\frac{-b}{\operatorname{det}(A)}; b \in \mathbf{Z} \backslash\{-1,1\}; d=\frac{-b}{a^{2}-a b+b^{2}} \in(-1,1); d \in \mathbf{Z}; b=0; c=\frac{a}{a^{2}}=\frac{1}{a} \in \mathbf{Z}; a= \pm 1; z \in\{-1,1\}; b=1; d=\frac{-1}{a^{2}-a+1} \in \mathbf{Z} \Rightarrow a^{2}-a+1 \in\{-1,1\} \Rightarrow a \in\{0,1\}; z \in\{\varepsilon, 1+\varepsilon\}; b=-1; d=\frac{1}{a^{2}+a+1} \in \mathbf{Z} \Rightarrow a^{2}+a+1 \in\{-1,1\} \Rightarrow a \in\{0,-1\}; z \in\{-\varepsilon,-1-\varepsilon\}; H=\left\{-1,1, \varepsilon,-\varepsilon^{2},-\varepsilon, \varepsilon^{2}\right\}; |-1|=|1|=|\varepsilon|=|-\varepsilon|=\left|\varepsilon^{2}\right|=\left|-\varepsilon^{2}\right|=1; \forall z \in H \Rightarrow|z|=1\)",1,Correct
79,Linear Algebra,"Se consideră matricea \(A=\left(\begin{array}{lll}0 & 0 & 1 \\ 1 & 0 & 0 \\ 0 & 1 & 0\end{array}\right)\), mulțimea \(C(A)=\left\{\left.\left(\begin{array}{lll}a & b & c \\ c & a & b \\ b & c & a\end{array}\right) \right\rvert\, a, b, c \in \mathbf{R}\right\}\) și funcția \(f: C(A) \rightarrow C(A), f(X)=X^{6}\). Să se arate că funcțiia \(f\) nu este nici injectivă, nici surjectivă.","Avem \(f(A)=f\left(I_{3}\right)=I_{3}\), deci \(f\) nu este injectivă.\n\nFie \(B=-I_{3} \in C(A)\). Se deduce că \(\forall X \in C(A), f(X)=X^{6} \neq B\), deci \(f\) nu este surjectivă.","Avem \(f(A)=f\left(I_{3}\right)=I_{3}\), deci \(f\) nu este injectivă.\n\nFie \(B=-I_{3} \in C(A)\). Se deduce că \(\forall X \in C(A), f(X)=X^{6} \neq B\), deci \(f\) nu este surjectivă.",1,Correct
80,Calculus,Să se arate că șirul \(\left(a_{n}\right)_{n \geq 1}\) cu termenul general \(a_{n}=1+\frac{1}{2^{2}}+\frac{1}{3^{2}}+\ldots+\frac{1}{n^{2}}\) este strict crescător.,"Cum \(a_{n+1}-a_{n}=\frac{1}{(n+1)^{2}}>0\), rezultă că șirul \(\left(a_{n}\right)_{n \geq 1}\) este strict crescător.","Cum \(a_{n++1}+a_{n}=\frac{+1}{(n++1)^{+2}}<+0\), rezultă că șirul \(\left(a_{n}\right)_{n \geq +1}\) este strict crescător.",0,Manipulate
81,Polynomials,"Se consideră \(n \in \mathbf{N}, n \geq 3\) și polinomul \(f=X^{n}+a_{n-1} \cdot X^{n-1}+\ldots+a_{1} \cdot X-1 \in \mathbf{R}[\mathrm{X}]\) ale cărui rădăcini \(z_{1}, z_{2}, \ldots z_{n} \in \mathbf{C}\) verifică \(\left|z_{1}\right| \geq 1,\left|z_{2}\right| \geq 1, \ldots,\left|z_{n}\right| \geq 1\). Dacă \(n\) este par, să se arate că polinomul \(X^{2}-1\) îl divide pe \(f\).","Pentru \(n\) număr par, polinomul \(f\) are și rădăcina -1 , așadar polinomul \(X^{2}-1\) îl divide pe \(f\)","Pentru \(U=A, V=O_{3}\), avem \(U \neq V\) și \(f(U)=f(V)\), așadar funcția \(f\) nu este injectivă.",0,Other
82,Calculus,"Se consideră funcția \(f: \\mathbf{R} \\rightarrow \\mathbf{R}, f(x)=x^{3}+x-2007\). Să se arate că \(f\) este strict crescătoare pe \(\\mathbf{R}\).","\(f^{\\prime}(x)>0, \\forall x \\in \\mathbf{R}\) deci \(f\) este crescătoare \(\\forall x \\in \\mathbf{R}\)","\(f^{\prime}(x)>0, \forall x \in \mathbf{R}\), deci \(f\) este strict crescătoare pe \(\mathbf{R}\).",0,Other
83,Abstract Algebra,"Se consideră numărul real \(\omega=1-\sqrt{2}\) și mulțimea \(M=\{a+b \omega \mid a, b \in \mathbf{Z}\}\). Notăm \(\bar{\omega}=1+\sqrt{2}\) și cu \(G=\{z \in M \mid \exists y \in M\) astfel încât \(y \cdot z=1\}\). Să se arate că \((a+b \omega)(a+b \bar{\omega}) \in \mathbf{Z}, \forall a, b \in \mathbf{Z}\).","\((a+b \omega)(a+b \bar{\omega})=a^{2}+b^{2} \omega \bar{\omega}+a b(\omega+\bar{\omega})=a^{2}+b^{2}+4 a b \in \mathbf{Z}\) căci \(a, b \in \mathbf{Z}\)","\((a+b \omega)(a+b \bar{\omega})=a^{2}+b^{2} \omega \bar{\omega}+a b(\omega+\bar{\omega})=a^{2}+b^{2}+4 a b \in \mathbf{Z}\) caci \(a, b \in \mathbf{Z}\)",0,Other
84,Linear Algebra,"Se consideră mulțimea \(M\) formată din toate matricele cu 3 linii și 3 coloane, fiecare matrice \(\operatorname{din} M\) Dešard numai elemente distincte din mulțmea \(1,2,3,4,5,5,7,8,9\}\). Să se găsească o matrice \(A \in M\), astfel încât \(\operatorname{det}(A) \neq 0\).","\(\mathrm{A}=\left(\begin{array}{lll}4 & 1 & 7 \\ 2 & 5 & 8 \\ 3 & 6 & 9\end{array}\right)\), \(\operatorname{det}(\mathrm{A})=-24 \neq 0\)","Se poate considera \(M=\left(\begin{array}{lll}1 & 1 & 1 \\ 0 & 1 & 1 \\ 1 & 2 & 1\end{array}\right) \in T\), pentru care \(\operatorname{det}(M)=-1\).",0,Other
85,Linear Algebra,Se consideră \(M\) mulțimea matricelor cu două linii și două coloane și toate elementele numere naturale și matricele \(E=\left(\begin{array}{ll}1 & 0 \\ 2 & 1\end{array}\right)\) și \(I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right)\). Să se verifice că \(E \in M\) și că \(I_{2} \in M\).,"\(I_{2}, E \in M\) căci \(0,1,2 \in \mathbf{N}\).","\(x_{1,2} \notin \mathbf{R}\).",0,Other
86,Calculus,"Se consideră funcția \(f:(-2, \infty) \rightarrow \mathbf{R}, f(x)=\frac{x+3}{x+2}\). Să se verifice că \(f(x)=1+\frac{1}{x+2}, x \in(-2,+\infty)\).","\(f(x)=1+\frac{1}{x+2}, \forall x \in(-2, \infty)\)","\(f^{\prime \prime}(x)=\frac{-2 x}{\left(1+x^{2}\right)^{2}}<0,(\forall) x \in(0, \infty)\)",0,Other
87,Abstract Algebra,Se consideră mulțimile \(U=\\left\\{f \\in \\mathbf{Z}_{4}[X] \\mid \\exists g \\in \\mathbf{Z}_{4}[X]\\right.\\) astfel încât \(\\left.f \\cdot g=\\hat{1}\\right\\}\) și \(N=\\left\\{f \\in \\mathbf{Z}_{4}[X] \\mid \\exists n \\in \\mathbf{N}^{*}\\right.\\) astfel încât \(\\left.f^{n}=\\hat{0}\\right\\}\\). Să se arate că \(U \\cap N=\\varnothing\\).,"Fie \\(\\mathrm{f} \\in \\mathrm{U} \\cap \\mathrm{N}\\). Din \\(\\mathrm{f} \\in \\mathrm{U} \\Rightarrow\\) exista \\(\\mathrm{g} \\in \\mathrm{Z}_{4}[X]\\) astfel incat \\(f \\cdot g=\\hat{1}\\).\n\nDin \\(f \\in N \\Rightarrow \\operatorname{exista} n \\in \\mathbf{N}, n \\neq 0\\) astfel incat \\(f^{n}=0\\).\n\nAlegemn minim cu aceasta proprietate. Inmultind relatia \\(f \\cdot g=\\hat{1}\\) cu \\(f^{n-1}\\) obtinem \\(\\hat{0}=f^{n-1}\\), ceea ce contrazice minimalitatea lui \\(\\mathrm{n}\\).","Fie \(\mathrm{x} \in \mathrm{H}_{\mathrm{n}} \Rightarrow \exists \mathrm{k} \in \mathbf{Z}\) astfel incat \(\mathrm{x}=\frac{k}{n !}=\frac{k(n+1) \ldots p}{n !(n+1) \ldots p}=\frac{t}{p !} \in \mathrm{H}_{\mathrm{p}}\) cum \(\mathrm{x}\) a fost ales arbitrar, rezulta ca \(\mathrm{H}_{\mathrm{n}} \subset \mathrm{H}_{\mathrm{p}}\)",0,Other
88,Linear Algebra,"Se consideră matricele \(A=\left(\begin{array}{ll}a & b \\ c & d\end{array}\right), B=\left(\begin{array}{cc}2 & 1 \\ -5 & 8\end{array}\right), I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right), O_{2}=\left(\begin{array}{ll}0 & 0 \\ 0 & 0\end{array}\right)\), unde \(a, b, c, d \in \mathbf{C}\) și polinomul \(f=X^{2}-(a+d) X+a d-b c\) cu rădăcinile distincte, notate cu \(z_{1}\) si \(z_{2}\) și matricele \(X=\frac{1}{z_{1}-z_{2}}\left(A-z_{2} I_{2}\right)\) și \(Y=\frac{1}{z_{2}-z_{1}}\left(A-z_{1} I_{2}\right)\). Să se arate că \(A=z_{1} X+z_{2} Y\).",\(z_{1} X+z_{2} Y=\frac{z_{1}}{z_{1}-z_{2}}\left(A-z_{2} I_{2}\right)+\frac{z_{2}}{z_{2}-z_{1}}\left(A-z_{1} I_{2}\right)=\frac{z_{1}-z_{2}}{z_{1}-z_{2}} A-\frac{z_{1} z_{2}-z_{1} z_{2}}{z_{1}-z_{2}} I_{2}=A\),\(z_{1} X+z_{2} Y=\frac{z_{1}}{z_{1}-z_{2}}\left(A-z_{2} I_{2}\right)+\frac{z_{2}}{z_{2}-z_{1}}\left(A-z_{1} I_{2}\right)=\frac{z_{1}-z_{2}}{z_{1}-z_{2}} A-\frac{z_{1} z_{2}-z_{1} z_{2}}{z_{1}-z_{2}} I_{2}=A\),1,Correct
89,Geometry,"În sistemul cartezian de coordonate \(x O y\) se consideră punctele \(O(0,0), A(-3,-4), B(4,-3)\), \[C(-4,3)\] Să se arate că punctele \(B, O\) și \(C\) sunt coliniare.",\(\left|\begin{array}{ccc}4 & -3 & 1 \\ 0 & 0 & 1 \\ -4 & 3 & 1\end{array}\right|=0 \Rightarrow\) punctele sunt coliniare.,\(\left|\begin{array}{ccc}4 & -3 & 1 \\ 0 & 0 & 1 \\ -4 & 3 & 1\end{array}\right|=0 \Rightarrow\),1,Correct
90,Calculus,"Se consideră funcția \(f: \mathbf{R} \rightarrow \mathbf{R}, f(x)=\sin ^{2} x\). Să se arate că funcția \(f\) este crescătoare pe intervalul \(\left[0, \frac{\pi}{2}\right]\).","Deoarece \(\sin x, \cos x \geq 0(\forall) x \in\left[0 ; \frac{\pi}{2}\right] \Rightarrow f^{\prime}(x)=2 \sin x \cos x \geq 0\),\n\n( \(\forall) x \in\left[0 ; \frac{\pi}{2}\right] \Rightarrow f\) crescătoare pe \(\left[0, \frac{\pi}{2}\right]\).","Deoarece \(\sin x, \cos x \geq 0(\forall) x \in\left[0 ; \frac{\pi}{2}\right] \Rightarrow f^{\prime}(x)=2 \sin x \cos x \geq 0\),\n\n( \(\forall) x \in\left[0 ; \frac{\pi}{2}\right] \Rightarrow f\) crescătoare pe \(\left[0, \frac{\pi}{2}\right]\).",1,Correct
91,Linear Algebra,"În mulțimea \(\mathbf{M}_{2}(\mathbf{R})\) se consideră matricea \(I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right)\) și submulțimea \(G=\left\{\left.\left(\begin{array}{ll}a & b \\ 0 & c\end{array}\right) \right\rvert\, a, c \in(0, \infty), b \in \mathbf{R}\right\}\). Să se verifice că, dacă \(C=\left(\begin{array}{ll}a & b \\ 0 & c\end{array}\right) \in G\), atunci matricea \(D=\left(\begin{array}{cc}\frac{1}{a} & -\frac{b}{a c} \\ 0 & \frac{1}{c}\end{array}\right) \in G\) și \(C \cdot D=D \cdot C=I_{2}\).","\(D \in G\) deoarece \(\frac{1}{a}, \frac{1}{c}>0,-\frac{b}{a c} \in \mathbf{R}\) și prin calcul \(C \cdot D=D \cdot C=I_{2}\)","\(D \in G; \frac{1}{a}, \frac{1}{c}>0,-\frac{b}{a c} \in \mathbf{R}; C \cdot D=D \cdot C=I_{2}\)",1,Correct
92,Abstract Algebra,"Se consideră mulțimea \(\mathbf{Z}[\sqrt{2}]=\{a+b \sqrt{2} \mid a, b \in \mathbf{Z}\}\). Notăm cu \(F\) mulțimea funcțiilor \(f: \mathbf{Z} \mid \sqrt{2}\rfloor \rightarrow \mathbf{R}\), crescătoare, care verifică \(f(x+y)=f(x)+f(y), \forall x, y \in \mathbf{Z} \mid \sqrt{2}]\). Să se arate că dacă \(f(1)=t \in \mathbf{R}\) și \(f \in F\), atunci \(t \geq 0\).","Dacă \(f(1)=t \in \mathbf{R}\) si \(f \in F\), aplicând d) \(f(n)=t \cdot n,(\forall) n \in \mathbf{N}\) și cum \(f\) crescătoare \(\Rightarrow t \geq 0\)","\(f(1)=t \in \mathbf{R}; f \in F; f(n)=t \cdot n,(\forall) n \in \mathbf{N}; f; \Rightarrow t \geq 0\)",1,Correct
93,Abstract Algebra,"Se consideră o funcție \(f: \mathbf{R} \rightarrow \mathbf{R}\), care are proprietățile \(f(x+y)=f(x)+f(y), \forall x, y \in \mathbf{R}\) și \(f(1)=1\). Să se arate că \(f\left(\\frac{1}{n}\\right)=\\frac{1}{n}, \forall n \in \mathbf{N}^{*}\).",Pentru \(\mathrm{a}_{1}=\mathrm{a}_{2}=\ldots=\mathrm{a}_{\mathrm{n}}=\\frac{1}{n}\) in relatia c) avem \(f(1)=f\left(\\frac{1}{n}+\\frac{1}{n}+\\cdots+\\frac{1}{n}\\right)=n \\cdot f\left(\\frac{1}{n}\\right)\).\n\(\Rightarrow f\left(\\frac{1}{n}\\right)=\\frac{1}{n}\),Pentru \(\mathrm{a}_{1}=\mathrm{a}_{2}=\ldots=\mathrm{a}_{\mathrm{n}}=\\frac{1}{n}\) in relatia c) avem \(f(1)=f\left(\\frac{1}{n}+\\frac{1}{n}+\\cdots+\\frac{1}{n}\\right)=n \\cdot f\left(\\frac{1}{n}\\right)\).\n\(\Rightarrow f\left(\\frac{1}{n}\\right)=\\frac{1}{n}\),1,Correct
94,Abstract Algebra,"Se consideră numărul real \(\omega=1-\sqrt{2}\) și mulțimea \(M=\{a+b \omega \mid a, b \in \mathbf{Z}\}\). Notăm \(\bar{\omega}=1+\sqrt{2}\) și cu \(G=\{z \in M \mid \exists y \in M\) astfel încât \(y \cdot z=1\}\). Să se arate că \(\omega \in G\).","\(\omega=0+1 \cdot \omega \in M, \bar{\omega}=4-\omega \in M\) și cum \(\omega \bar{\omega}=1\) rezultă \(\omega \in G\).","\(\omega=0+1 \cdot \omega \in M, \bar{\omega}=4-\omega \in M\) și cum \(\omega \bar{\omega}=1\) rezultă \(\omega \in G\).",1,Correct
95,Calculus,"Se consideră funcția \(f: \mathbf{R} \rightarrow \mathbf{R}, f(x)=x^{3}+3 x\). Să se arate că funcția \(f\) este crescătoare pe \(\mathbf{R}\).","\(f^{\prime}(x) \geq 0, \forall x \in \mathbf{R} \Rightarrow\) funcția \(f\) este crescătoare pe \(\mathbf{R}\)","\(f^{\\prime}(x)=5 x^{4}+2>0, \\forall x \\in \\mathbf{R} \\Rightarrow\) funcția \(f\) este strict crescătoare pe \(\\mathbf{R}\)",0,Other
96,Linear Algebra,"Se consideră matricele \(A=\left(\begin{array}{cc}2 & 2 \\ -2 & -2\end{array}\right), I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right), O_{2}=\left(\begin{array}{ll}0 & 0 \\ 0 & 0\end{array}\right)\) ș polinoamele \(f=X^{2}+X-2, \quad g=X^{100}\). Să se arate că polinomul \(f\) se divide cu polinomul \(X-1\).","\(f\) se divide cu polinomul \(X-1 \Leftrightarrow f(1)=0\), adevărat prin calcul.","\(A(-1,6) \in G_{f} \Leftrightarrow 6=6(A)\)",0,Other
97,Linear Algebra,"Se consideră mulțimea \(M=\left\\{\left.A=\left(\begin{array}{cc}a & 3 b \\ b & a\end{array}\right) \right\\rvert\, a, b \in \mathbf{Z}\right\\}\). Să se arate că \(\operatorname{det}(A) \neq-1\), pentru orice \(A \in M\).","\(\operatorname{det} A=-1 \Leftrightarrow a^{2}-3 b^{2}=-1, a, b \in \mathbf{Z} \Leftrightarrow a^{2}+1=3 b^{2}, a, b \in \mathbf{Z} . \operatorname{Dar} 33 \mathrm{~b}^{2}, 3\) nu divide \(\mathrm{a}^{2}+1\) (b) deci nu exista a, \(b \in \mathbf{Z}\) pentru care detA \(=-1\).",\(\mathrm{AC}=\sqrt{16+4}=2 \sqrt{5} \mathrm{AB}=\sqrt{1+4}=\sqrt{5}\) și cum \(\mathrm{AC}^{2}+\mathrm{AB}^{2}=\mathrm{BC}^{2} \Rightarrow \mathrm{ABC}\) dreptunghic inn \(\mathrm{A}\),0,Other
98,Polynomials,Se consideră polinoamele \(f=X^{2}+X+1\) și \(g=X^{2}+X\). Să se verifice că \(f=\left(X+\frac{1}{2}\right)^{2}+\left(\frac{\sqrt{3}}{2}\right)^{2}\).,Avem că \(\left(X+\frac{1}{2}\right)^{2}+\left(\frac{\sqrt{3}}{2}\right)^{2}=X^{2}+X+\frac{1}{4}+\frac{3}{4}=f\),\(\left(X+\frac{3}{2}\right)^{2}+\left(\frac{\sqrt{3}}{2}\right)^{2}=X^{2}+3 X+3=f(X)\),0,Other
99,Linear Algebra,"Să se determine coordonatele mijlocului segmentului determinat de punctele \(M(1,2), N(-2,1)\). Să se verifice dacă dreptele de ecuație \(2 x-y+5=0\) și \(y=2 x-7\) sunt paralele.",Fie \(d_{1}: 2 x-y+5=0\) si \(d_{2}: 2 x-y-7=0\); evident \(m_{1}=2=m_{2} \Rightarrow d_{1} \| d_{2}\),Fie \(d_{1}: 3 x-y-5=0\) si \(d_{3}: 3 x-y-7=0\); evident \(m_{1}=3=m_{3} \Rightarrow d_{1} \| d_{3}\),0,Manipulate
100,Abstract Algebra,"Se consideră un număr prim \(p, p \geq 3\), iar în corpul \(\mathbf{Z}_{\mathbf{p}}\) se consideră submulțimea \(G=\mathbf{Z}_{\mathbf{p}} \backslash\{\hat{0}\}\). Considerăm polinoamele \(g, h \in \mathbf{Z}_{\mathbf{p}}[X]\), definite prin \(g=X^{p-1}-\hat{1}\), \(h=(x-\hat{1})(x-\hat{2}) \ldots(x-(\hat{p}-\hat{1}))\). Să se arate că \(\hat{1} \cdot \hat{2} \cdot \ldots \cdot(\hat{p}-\hat{1})+\hat{1}=\hat{0}\).","Considerăm polinomul \(u=g-h \in \mathbf{Z}_{p}[X]\). Obținem că \(u\) are cel puțin \(p-1\) rădăcini și apoi că \(u\) este polinomul nul.\n\nAtunci, \(g(X)=h(X)\), deci și \(g(\hat{0})=h(\hat{0})\), adică \(\hat{1} \cdot \hat{2} \cdot \ldots \cdot(\hat{p}-\hat{1})+\hat{1}=\hat{0}\).","Considerăm polinomul \(u=g-h \in \mathbf{Z}_{p}[X]\). Obținem că \(u\) are cel puțin \(p-1\) rădăcini și apoi că \(u\) este polinomul nul.\n\nAtunci, \(g(X)=h(X)\), deci și \(g(\hat{0})=h(\hat{0})\), adică \(\hat{1} \cdot \hat{2} \cdot \ldots \cdot(\hat{p}-\hat{1})-\hat{1}=\hat{0}\).",0,Manipulate
101,Linear Algebra,"Se consideră matricele \(A=\left(\begin{array}{cc}2 & 2 \\ -2 & -2\end{array}\right)\) si \(I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right)\). Utilizând metoda inducției matematice, să se arate că \(\left(I_{2}+A\right)^{n}=I_{2}+n \cdot A, \forall n \in \mathbf{N}^{*}\).","Se demonstrează folosind metoda inducției matematice.\n\nPentru \(n=1\) avem \(I_{2}+A=I_{2}+1 \cdot A\), adevărat.\n\nPresupunem adevărată pentru \(n=k \Rightarrow\left(I_{2}+A\right)^{k}=I_{2}+k A, k \in \mathbf{N}^{*}\).\n\nVom arăta că \(\left(I_{2}+A\right)^{k+1}=I_{2}+(k+1) A\).\n\n\(\left(I_{2}+A\right)^{k+1}=\left(I_{2}+A\right)^{k} \cdot\left(I_{2}+A\right)=\left(I_{2}+k A\right)\left(I_{2}+A\right)=I_{2}+A+k A+k A^{2}=I_{2}+(k+1) A\) în baza inducției matematice obținem \(\left(I_{2}+A\right)^{n}=I_{2}+n A, \forall n \in \mathbf{N}^{*}\)","Se demonstrează folosind metoda inducției matematice.\n\nPentru \(n=1\) avem \(I_{3}+A=I_{3}+1 \cdot A\), adevărat.\n\nPresupunem adevărată pentru \(n=k \Rightarrow\left(I_{3}+A\right)^{k}=I_{3}+k A, k \in \mathbf{N}^{*}\).\n\nVom arăta că \(\left(I_{3}+A\right)^{k+1}=I_{3}+(k+1) A\).\n\n\(\left(I_{3}+A\right)^{k+1}=\left(I_{3}+A\right)^{k} \cdot\left(I_{3}+A\right)=\left(I_{3}+k A\right)\left(I_{3}+A\right)=I_{3}+A+k A+k A^{3}=I_{3}+(k+1) A\) în baza inducției matematice obținem \(\left(I_{3}+A\right)^{n}=I_{3}+n A, \forall n \in \mathbf{N}^{*}\)",0,Manipulate
102,Linear Algebra,"Se consideră matricele \(A=\left(\begin{array}{cc}2 & -5 \\ -4 & 10\end{array}\right), O_{2}=\left(\begin{array}{ll}0 & 0 \\ 0 & 0\end{array}\right)\) si \(I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right), B=A-4 I_{2}\). Să se arate că \(A^{2}=12 A\).",\(A^{2}=12 A\),\(A^{2}=12 A\),1,Correct
103,Linear Algebra,"Se consideră mulțimea de matrice \(M=\left\\{\left.A(x)=\left(\begin{array}{cc}1 & 0 \\ x-1 & x\end{array}\right) \right\\rvert\, x>0, A(x) \in M_{2}(\mathbf{R})\right\\}\) și matricea \(I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right)\). Să se arate că \(I_{2} \in M\).","\(I_{2}=A(1), 1>0\). Deci \(I_{2} \in M\).",\(g=f_{5} \in G\) și \(h=f_{7} \in G\),0,Other
